epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.4539,0.64009,0.87719,1,0.39646,0.00023338,0.00023338,0.00023338
2,44.3718,0.46335,0.98246,1,0.18083,0.000473858,0.000473858,0.000473858
3,66.8243,0.25551,0.98246,1,0.08984,0.000704434,0.000704434,0.000704434
4,90.234,0.30057,0.98246,1,0.1013,0.000925108,0.000925108,0.000925108
5,112.616,0.13347,0.94737,1,0.23113,0.00113588,0.00113588,0.00113588
6,134.026,0.17519,0.96491,1,0.44006,0.00133675,0.00133675,0.00133675
7,155.143,0.22416,0.98246,1,0.35705,0.00146896,0.00146896,0.00146896
8,177.097,0.1553,0.94737,1,0.29785,0.00143595,0.00143595,0.00143595
9,198.21,0.18557,0.98246,1,0.05864,0.00140295,0.00140295,0.00140295
10,219.562,0.23636,0.84211,1,0.34596,0.00136994,0.00136994,0.00136994
11,240.678,0.19037,0.82456,1,0.66709,0.00133693,0.00133693,0.00133693
12,261.434,0.24478,0.98246,1,0.20099,0.00130393,0.00130393,0.00130393
