epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.5486,0.97893,0.84416,1,0.71029,0.00027151,0.00027151,0.00027151
2,58.2782,0.60472,0.98701,1,0.23882,0.000546275,0.000546275,0.000546275
3,86.835,0.36258,0.98701,1,0.07236,0.000809723,0.000809723,0.000809723
4,115.227,0.1974,0.92208,1,0.12075,0.00106185,0.00106185,0.00106185
5,144.431,0.2006,0.93506,1,0.24853,0.00130266,0.00130266,0.00130266
6,172.341,0.2359,0.94805,1,0.20104,0.00128753,0.00128753,0.00128753
7,200.341,0.19186,0.8961,1,0.33787,0.00125923,0.00125923,0.00125923
8,228.552,0.19795,0.94805,1,0.36415,0.00123094,0.00123094,0.00123094
9,257.448,0.23809,0.85714,1,0.76031,0.00120265,0.00120265,0.00120265
10,285.876,0.3472,0.85714,1,0.67986,0.00117435,0.00117435,0.00117435
11,314.521,0.29196,0.8961,1,0.43284,0.00114606,0.00114606,0.00114606
12,342.92,0.20917,0.92208,1,0.37504,0.00111776,0.00111776,0.00111776
