epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.1463,1.0087,0.77922,1,0.74645,0.00027151,0.00027151,0.00027151
2,58.8067,0.72478,0.87013,1,0.39137,0.000546275,0.000546275,0.000546275
3,88.7346,0.47471,0.90909,1,0.22715,0.000809723,0.000809723,0.000809723
4,117.89,0.31364,0.92208,1,0.30259,0.00106185,0.00106185,0.00106185
5,147.047,0.1689,0.92208,1,0.23044,0.00130266,0.00130266,0.00130266
6,176.475,0.39744,0.87013,1,0.61414,0.00128753,0.00128753,0.00128753
7,204.814,0.32172,0.88312,1,0.36514,0.00125923,0.00125923,0.00125923
8,233.511,0.26194,0.90909,1,0.39713,0.00123094,0.00123094,0.00123094
9,262.045,0.40833,0.96104,1,0.29811,0.00120265,0.00120265,0.00120265
10,291.233,0.35171,0.8961,1,0.60215,0.00117435,0.00117435,0.00117435
11,319.55,0.29124,0.92208,1,0.42955,0.00114606,0.00114606,0.00114606
12,347.891,0.23755,0.8961,1,0.30753,0.00111776,0.00111776,0.00111776
13,375.788,0.30382,0.90909,1,0.21573,0.00108947,0.00108947,0.00108947
14,404.045,0.20385,0.93506,1,0.29862,0.00106118,0.00106118,0.00106118
15,432.248,0.25003,0.8961,1,0.35032,0.00103288,0.00103288,0.00103288
16,460.683,0.27406,0.84416,1,0.53962,0.00100459,0.00100459,0.00100459
17,488.966,0.24121,0.8961,1,0.65191,0.000976293,0.000976293,0.000976293
18,516.919,0.18593,0.93506,1,0.76227,0.000947999,0.000947999,0.000947999
19,545.361,0.204,0.93506,1,0.67919,0.000919704,0.000919704,0.000919704
